date_date,orders_id,products_id,turnover,qty,purchase_price,purchase_cost,product_margin,product_margin_percent
23/06/2021,914791,69122,2.75,1,2,2,0.75,0.27
12/09/2021,986981,69122,2.72,1,2,2,0.72,0.26
19/09/2021,992209,69122,3.12,1,2,2,1.12,0.36
10/06/2021,903329,69122,3.12,1,2,2,1.12,0.36
08/09/2021,982327,69122,3.12,1,2,2,1.12,0.36
18/07/2021,937514,69122,3.12,1,2,2,1.12,0.36
12/06/2021,905114,69122,3.12,1,2,2,1.12,0.36
21/07/2021,940334,69122,3.12,1,2,2,1.12,0.36
14/06/2021,907063,69122,2.66,1,2,2,0.66,0.25
16/06/2021,908887,69122,3.12,1,2,2,1.12,0.36
24/07/2021,942727,69122,2.66,1,2,2,0.66,0.25
14/08/2021,960022,69122,3.12,1,2,2,1.12,0.36
16/08/2021,961890,69122,3.12,1,2,2,1.12,0.36
22/08/2021,967512,69122,2.66,1,2,2,0.66,0.25
20/09/2021,993177,69122,3.12,1,2,2,1.12,0.36
08/06/2021,901619,69122,3.12,1,2,2,1.12,0.36
04/08/2021,952571,69122,3.12,1,2,2,1.12,0.36
12/06/2021,905035,69122,3.12,1,2,2,1.12,0.36
16/09/2021,990449,69122,3.12,1,2,2,1.12,0.36
03/09/2021,977547,69122,3.12,1,2,2,1.12,0.36
21/08/2021,965609,69122,3.12,1,2,2,1.12,0.36
04/09/2021,978413,69122,3.12,1,2,2,1.12,0.36
07/06/2021,900337,69122,3.12,1,2,2,1.12,0.36
09/06/2021,902082,69122,2.81,1,2,2,0.81,0.29
20/08/2021,965011,69122,2.66,1,2,2,0.66,0.25
23/08/2021,968211,69122,3.12,1,2,2,1.12,0.36
19/07/2021,938731,69122,3.12,1,2,2,1.12,0.36
26/07/2021,944363,69122,3.12,1,2,2,1.12,0.36
10/08/2021,957529,69122,3.12,1,2,2,1.12,0.36
21/06/2021,912356,69122,3.12,1,2,2,1.12,0.36
16/08/2021,961469,69122,2.66,1,2,2,0.66,0.25
14/07/2021,934284,69122,3.12,1,2,2,1.12,0.36
19/06/2021,911072,69122,3.12,1,2,2,1.12,0.36
13/09/2021,987520,69122,3.12,1,2,2,1.12,0.36
27/06/2021,917249,69122,3.12,1,2,2,1.12,0.36
03/08/2021,951488,69122,3.12,1,2,2,1.12,0.36
09/09/2021,984096,69122,3.12,1,2,2,1.12,0.36
06/06/2021,898708,69122,3.12,1,2,2,1.12,0.36
21/09/2021,994495,69122,3.12,1,2,2,1.12,0.36
04/07/2021,924790,69122,3.12,1,2,2,1.12,0.36
19/08/2021,964256,69122,3.12,1,2,2,1.12,0.36
13/07/2021,933757,69122,3.12,1,2,2,1.12,0.36
03/09/2021,977891,69122,3.12,1,2,2,1.12,0.36
14/07/2021,934487,69122,3.12,1,2,2,1.12,0.36
04/09/2021,978923,69122,3.12,1,2,2,1.12,0.36
05/09/2021,979468,69122,3.12,1,2,2,1.12,0.36
07/06/2021,900020,69122,2.81,1,2,2,0.81,0.29
05/07/2021,925897,69122,3.12,1,2,2,1.12,0.36
17/09/2021,991320,69122,3.12,1,2,2,1.12,0.36
09/06/2021,902015,69122,3.12,1,2,2,1.12,0.36
05/06/2021,898271,96003,3.09,1,2,2,1.09,0.35
15/06/2021,907615,96003,2.68,1,2,2,0.68,0.25
10/07/2021,931081,96003,3.43,1,2,2,1.43,0.42
12/08/2021,958594,96003,3.09,1,2,2,1.09,0.35
